fy_id,fy_title,fy_type,fy_status,platform,xzq,sq,jd,wd,month_zj,jzmj,is_dt,zx_qk
BJ0000802,北新桥80.6㎡精装整租,整租,在租,链家,东城区,北新桥,116.428216,39.920908,8454,80.6,是,精装
BJ0000803,旧宫18.2㎡简装合租,合租,在租,链家,大兴区,旧宫,116.303544,39.709377,1520,18.2,否,简装
BJ0000804,知春路12.8㎡精装合租,合租,在租,链家,海淀区,知春路,116.303184,39.964399,3817,12.8,是,精装
BJ0000805,新街口39.0㎡简装整租,整租,在租,链家,西城区,新街口,116.351158,39.903251,9511,39.0,是,简装
BJ0000806,枣园111.4㎡简装整租,整租,已租,链家,大兴区,枣园,116.348209,39.754962,6300,111.4,是,简装
BJ0000807,霍营123.4㎡豪装独栋,独栋,在租,贝壳找房,昌平区,霍营,116.202469,40.238184,20582,123.4,否,豪装
BJ0000808,知春路13.4㎡精装合租,合租,在租,安居客,海淀区,知春路,116.326476,39.953772,2254,13.4,是,精装
BJ0000809,大红门21.7㎡毛坯合租,合租,在租,贝壳找房,丰台区,大红门,116.254792,39.819695,1560,21.7,否,毛坯
BJ0000810,五道口14.2㎡毛坯整租,整租,已租,链家,海淀区,五道口,116.280409,39.948366,5357,14.2,是,毛坯
BJ0000811,北苑11.0㎡精装合租,合租,在租,贝壳找房,通州区,北苑,116.692286,39.947234,1902,11.0,否,精装
BJ0000812,刘家窑22.5㎡毛坯合租,合租,在租,链家,丰台区,刘家窑,116.276895,39.873076,1751,22.5,否,毛坯
BJ0000813,亦庄20.7㎡精装整租,整租,在租,链家,大兴区,亦庄,116.35728,39.731664,3766,20.7,否,精装
BJ0000814,北太平庄13.0㎡简装合租,合租,已租,链家,海淀区,北太平庄,116.309399,39.99131,3053,13.0,否,简装
BJ0000815,十里堡23.0㎡简装合租,合租,在租,链家,朝阳区,十里堡,116.408658,39.908394,2574,23.0,否,简装
BJ0000816,常营83.1㎡精装整租,整租,已租,自如,朝阳区,常营,116.406006,39.929086,7943,83.1,是,精装
BJ0000817,阎村53.2㎡简装整租,整租,在租,链家,房山区,阎村,116.124888,39.763855,4191,53.2,否,简装
BJ0000818,中关村102.7㎡精装整租,整租,在租,安居客,海淀区,中关村,116.265395,39.991431,7732,102.7,是,精装
BJ0000819,管庄21.1㎡简装合租,合租,在租,安居客,朝阳区,管庄,116.438443,39.954008,3096,21.1,是,简装
BJ0000820,霍营54.7㎡简装整租,整租,在租,链家,昌平区,霍营,116.250627,40.239638,3052,54.7,否,简装
BJ0000821,龙泉123.1㎡毛坯独栋,独栋,在租,自如,门头沟区,龙泉,116.083024,39.958183,13794,123.1,是,毛坯
BJ0000822,临河里38.3㎡豪装整租,整租,在租,自如,通州区,临河里,116.630388,39.899705,7026,38.3,是,豪装
BJ0000823,老山11.3㎡简装合租,合租,在租,自如,石景山区,老山,116.248224,39.87558,1676,11.3,否,简装
BJ0000824,石门27.0㎡精装合租,合租,在租,贝壳找房,顺义区,石门,116.648771,40.104352,2237,27.0,否,精装
BJ0000825,知春路68.8㎡毛坯整租,整租,在租,链家,海淀区,知春路,116.333032,39.991771,8967,68.8,是,毛坯
BJ0000826,大红门18.6㎡精装合租,合租,在租,安居客,丰台区,大红门,116.287269,39.88297,2394,18.6,否,精装
BJ0000827,回龙观19.3㎡简装合租,合租,在租,自如,昌平区,回龙观,116.219249,40.2442,1805,19.3,否,简装
BJ0000828,清河12.1㎡精装合租,合租,在租,贝壳找房,海淀区,清河,116.27916,39.986379,3504,12.1,是,精装
BJ0000829,牡丹园68.5㎡豪装整租,整租,已租,自如,海淀区,牡丹园,116.323603,39.967296,8246,68.5,是,豪装
BJ0000830,草桥34.1㎡精装合租,合租,在租,贝壳找房,丰台区,草桥,116.322151,39.849733,1860,34.1,是,精装
BJ0000831,常营21.8㎡简装合租,合租,在租,链家,朝阳区,常营,116.466243,39.948442,2141,21.8,是,简装
BJ0000832,管庄16.7㎡简装合租,合租,在租,链家,朝阳区,管庄,116.446994,39.958792,3983,16.7,是,简装
BJ0000833,北苑69.7㎡毛坯整租,整租,在租,安居客,通州区,北苑,116.640854,39.912333,3186,69.7,否,毛坯
BJ0000834,青塔9.3㎡精装合租,合租,已租,链家,丰台区,青塔,116.316355,39.827375,1811,9.3,是,精装
BJ0000835,马坡98.8㎡豪装整租,整租,已租,链家,顺义区,马坡,116.645764,40.129483,6669,98.8,是,豪装
BJ0000836,望京22.2㎡精装合租,合租,在租,安居客,朝阳区,望京,116.475791,39.933773,3072,22.2,是,精装
BJ0000837,潘家园50.7㎡精装整租,整租,在租,链家,朝阳区,潘家园,116.462836,39.955127,10686,50.7,是,精装
BJ0000838,管庄63.9㎡精装整租,整租,已租,链家,朝阳区,管庄,116.458828,39.891126,10225,63.9,是,精装
BJ0000839,牛街76.3㎡简装整租,整租,在租,安居客,西城区,牛街,116.399788,39.892007,10196,76.3,是,简装
BJ0000840,果园17.3㎡简装合租,合租,在租,安居客,通州区,果园,116.687729,39.903399,1653,17.3,否,简装
BJ0000841,清河11.1㎡精装合租,合租,在租,自如,海淀区,清河,116.323547,39.955252,3288,11.1,否,精装
BJ0000842,西单22.4㎡精装合租,合租,在租,贝壳找房,西城区,西单,116.340392,39.897814,4038,22.4,是,精装
BJ0000843,中关村22.5㎡精装合租,合租,已租,贝壳找房,海淀区,中关村,116.315344,39.936402,2467,22.5,是,精装
BJ0000844,良乡20.0㎡毛坯合租,合租,在租,贝壳找房,房山区,良乡,116.149216,39.764702,916,20.0,是,毛坯
BJ0000845,五道口57.2㎡简装整租,整租,待审核,贝壳找房,海淀区,五道口,116.267927,39.932991,8445,57.2,否,简装
BJ0000846,公主坟26.4㎡精装合租,合租,在租,贝壳找房,海淀区,公主坟,116.260961,39.961977,2574,26.4,否,精装
BJ0000847,万寿路10.7㎡简装合租,合租,待审核,贝壳找房,海淀区,万寿路,116.318295,39.951328,2316,10.7,否,简装
BJ0000848,十里堡89.0㎡精装整租,整租,已租,安居客,朝阳区,十里堡,116.478516,39.889219,10438,89.0,否,精装
BJ0000849,五道口111.1㎡豪装整租,整租,在租,自如,海淀区,五道口,116.273293,39.991482,7164,111.1,否,豪装
BJ0000850,良乡13.1㎡简装合租,合租,在租,贝壳找房,房山区,良乡,116.124398,39.768034,1509,13.1,否,简装
BJ0000851,西二旗232.8㎡简装独栋,独栋,在租,贝壳找房,海淀区,西二旗,116.318243,39.990324,31289,232.8,是,简装
BJ0000852,亦庄23.1㎡毛坯合租,合租,已租,贝壳找房,大兴区,亦庄,116.308644,39.748096,1034,23.1,否,毛坯
BJ0000853,梨园69.5㎡毛坯整租,整租,在租,链家,通州区,梨园,116.694841,39.874321,3020,69.5,否,毛坯
BJ0000854,北七家20.6㎡精装合租,合租,在租,安居客,昌平区,北七家,116.266751,40.237381,1157,20.6,否,精装
BJ0000855,白纸坊96.3㎡简装整租,整租,在租,贝壳找房,西城区,白纸坊,116.342242,39.904016,6198,96.3,是,简装
BJ0000856,劲松15.6㎡精装合租,合租,在租,贝壳找房,朝阳区,劲松,116.418462,39.883287,4012,15.6,是,精装
BJ0000857,北新桥46.6㎡简装整租,整租,在租,58同城,东城区,北新桥,116.380253,39.910307,8171,46.6,是,简装
BJ0000858,金融街74.8㎡精装整租,整租,在租,链家,西城区,金融街,116.377708,39.948718,7825,74.8,是,精装
BJ0000859,宋家庄20.9㎡精装合租,合租,已租,安居客,丰台区,宋家庄,116.278353,39.826604,2122,20.9,是,精装
BJ0000860,潘家园28.1㎡简装合租,合租,在租,安居客,朝阳区,潘家园,116.476123,39.930769,2111,28.1,是,简装
BJ0000861,金融街85.2㎡毛坯整租,整租,在租,自如,西城区,金融街,116.379283,39.906234,5157,85.2,是,毛坯
BJ0000862,昌平镇26.9㎡毛坯合租,合租,在租,自如,昌平区,昌平镇,116.199951,40.246214,1302,26.9,是,毛坯
BJ0000863,西三旗64.4㎡简装整租,整租,在租,贝壳找房,海淀区,西三旗,116.284854,39.958553,9286,64.4,是,简装
BJ0000864,临河里92.7㎡简装整租,整租,已租,58同城,通州区,临河里,116.689273,39.917159,3000,92.7,否,简装
BJ0000865,北苑18.7㎡简装合租,合租,在租,58同城,通州区,北苑,116.645676,39.871972,2117,18.7,是,简装
BJ0000866,西罗园205.0㎡精装独栋,独栋,在租,贝壳找房,丰台区,西罗园,116.318938,39.854442,22625,205.0,否,精装
BJ0000867,陶然亭12.0㎡简装合租,合租,在租,贝壳找房,西城区,陶然亭,116.350746,39.875288,3616,12.0,否,简装
BJ0000868,龙泉20.7㎡精装合租,合租,在租,贝壳找房,门头沟区,龙泉,116.136179,39.91217,1685,20.7,是,精装
BJ0000869,北太平庄10.0㎡精装合租,合租,在租,链家,海淀区,北太平庄,116.261276,39.941941,1962,10.0,是,精装
BJ0000870,霍营217.4㎡精装独栋,独栋,待审核,58同城,昌平区,霍营,116.267882,40.22556,17748,217.4,否,精装
BJ0000871,中关村20.7㎡简装合租,合租,在租,58同城,海淀区,中关村,116.295854,39.947671,2233,20.7,是,简装
BJ0000872,九棵树17.4㎡简装合租,合租,待审核,链家,通州区,九棵树,116.68145,39.880634,1369,17.4,是,简装
BJ0000873,崇文门42.4㎡简装整租,整租,在租,链家,东城区,崇文门,116.406077,39.958574,9800,42.4,是,简装
BJ0000874,金融街30.9㎡精装合租,合租,在租,链家,西城区,金融街,116.399005,39.874114,3854,30.9,否,精装
BJ0000875,知春路62.8㎡精装整租,整租,在租,安居客,海淀区,知春路,116.301462,39.964546,9046,62.8,否,精装
BJ0000876,望京66.6㎡毛坯整租,整租,在租,58同城,朝阳区,望京,116.425114,39.959894,7744,66.6,是,毛坯
BJ0000877,西罗园47.2㎡简装整租,整租,在租,链家,丰台区,西罗园,116.306149,39.822742,5864,47.2,否,简装
BJ0000878,中关村65.5㎡精装整租,整租,在租,链家,海淀区,中关村,116.322449,39.969193,10343,65.5,是,精装
BJ0000879,潘家园85.5㎡豪装整租,整租,在租,贝壳找房,朝阳区,潘家园,116.439005,39.885452,9202,85.5,否,豪装
BJ0000880,龙泽21.6㎡简装整租,整租,在租,链家,昌平区,龙泽,116.201056,40.1924,3300,21.6,否,简装
BJ0000881,劲松108.1㎡简装独栋,独栋,在租,贝壳找房,朝阳区,劲松,116.426703,39.934403,20937,108.1,是,简装
BJ0000882,牛街23.9㎡简装合租,合租,待审核,安居客,西城区,牛街,116.326882,39.896221,1915,23.9,否,简装
BJ0000883,磁器口42.2㎡简装整租,整租,在租,安居客,东城区,磁器口,116.398152,39.96704,8277,42.2,是,简装
BJ0000884,九棵树96.8㎡简装整租,整租,在租,安居客,通州区,九棵树,116.653859,39.938193,6887,96.8,是,简装
BJ0000885,城子11.3㎡精装合租,合租,在租,贝壳找房,门头沟区,城子,116.108083,39.974593,1271,11.3,否,精装
BJ0000886,太阳宫31.4㎡简装合租,合租,待审核,贝壳找房,朝阳区,太阳宫,116.46213,39.899536,2655,31.4,是,简装
BJ0000887,黄村25.6㎡简装合租,合租,在租,安居客,大兴区,黄村,116.373284,39.70072,1092,25.6,否,简装
BJ0000888,高米店78.5㎡简装整租,整租,在租,链家,大兴区,高米店,116.351804,39.689157,3173,78.5,否,简装
BJ0000889,劲松70.9㎡毛坯整租,整租,在租,链家,朝阳区,劲松,116.438501,39.903887,7577,70.9,是,毛坯
BJ0000890,回龙观14.3㎡精装合租,合租,在租,链家,昌平区,回龙观,116.219965,40.213342,1771,14.3,否,精装
BJ0000891,安定门71.0㎡简装整租,整租,在租,58同城,东城区,安定门,116.42163,39.926399,7655,71.0,是,简装
BJ0000892,旧宫72.1㎡精装整租,整租,在租,贝壳找房,大兴区,旧宫,116.309373,39.726697,6818,72.1,是,精装
BJ0000893,西二旗11.9㎡豪装合租,合租,在租,安居客,海淀区,西二旗,116.335449,39.925282,2254,11.9,是,豪装
BJ0000894,顺义城65.0㎡毛坯整租,整租,在租,链家,顺义区,顺义城,116.666759,40.092782,3441,65.0,是,毛坯
BJ0000895,黄村18.2㎡简装合租,合租,在租,自如,大兴区,黄村,116.320149,39.692633,1941,18.2,否,简装
BJ0000896,丰台科技园58.3㎡精装整租,整租,在租,58同城,丰台区,丰台科技园,116.318001,39.856802,6452,58.3,是,精装
BJ0000897,亦庄23.8㎡简装合租,合租,在租,安居客,大兴区,亦庄,116.303015,39.691229,1703,23.8,否,简装
BJ0000898,西红门11.0㎡精装合租,合租,在租,链家,大兴区,西红门,116.311319,39.742907,1741,11.0,否,精装
BJ0000899,中关村76.0㎡毛坯整租,整租,已租,贝壳找房,海淀区,中关村,116.277054,39.926659,4044,76.0,否,毛坯
BJ0000900,中关村36.0㎡精装整租,整租,在租,链家,海淀区,中关村,116.264129,39.929437,9182,36.0,是,精装
BJ0000901,东直门23.0㎡简装合租,合租,在租,链家,东城区,东直门,116.428527,39.89461,3640,23.0,是,简装
BJ0000902,角门8㎡精装合租,合租,在租,贝壳找房,丰台区,角门,116.289148,39.839903,2560,8,否,精装
BJ0000903,上地24.9㎡简装合租,合租,在租,贝壳找房,海淀区,上地,116.330964,39.986614,3123,24.9,是,简装
BJ0000904,黄村93.0㎡精装整租,整租,在租,58同城,大兴区,黄村,116.303003,39.753706,7388,93.0,是,精装
BJ0000905,双井85.2㎡简装整租,整租,在租,链家,朝阳区,双井,116.434273,39.884553,7741,85.2,是,简装
BJ0000906,古城19.7㎡毛坯合租,合租,已租,贝壳找房,石景山区,古城,116.247519,39.912877,1433,19.7,否,毛坯
BJ0000907,黄村254.1㎡精装独栋,独栋,已租,自如,大兴区,黄村,116.365892,39.731064,15348,254.1,否,精装
BJ0000908,公主坟63.2㎡精装整租,整租,已租,自如,海淀区,公主坟,116.295387,39.998709,10524,63.2,是,精装
BJ0000909,知春路77.6㎡毛坯整租,整租,在租,58同城,海淀区,知春路,116.289568,39.968544,4844,77.6,是,毛坯
BJ0000910,劲松33.2㎡简装整租,整租,在租,贝壳找房,朝阳区,劲松,116.404881,39.88171,8638,33.2,是,简装
BJ0000911,老山73.9㎡精装整租,整租,在租,安居客,石景山区,老山,116.207822,39.870723,7070,73.9,是,精装
BJ0000912,望京55.4㎡简装整租,整租,待审核,贝壳找房,朝阳区,望京,116.41824,39.921538,5845,55.4,否,简装
BJ0000913,平谷城区59.1㎡简装整租,整租,在租,58同城,平谷区,平谷城区,117.135471,40.169199,2526,59.1,否,简装
BJ0000914,万寿路73.1㎡精装整租,整租,待审核,贝壳找房,海淀区,万寿路,116.324331,39.973781,5753,73.1,是,精装
BJ0000915,古城30.0㎡精装合租,合租,已租,链家,石景山区,古城,116.220355,39.94348,1326,30.0,否,精装
BJ0000916,北新桥12.4㎡精装合租,合租,待审核,58同城,东城区,北新桥,116.451195,39.918807,4244,12.4,是,精装
BJ0000917,鼓楼街道22.2㎡简装合租,合租,在租,贝壳找房,密云区,鼓楼街道,116.84328,40.382155,618,22.2,否,简装
BJ0000918,陶然亭12.0㎡毛坯合租,合租,待审核,贝壳找房,西城区,陶然亭,116.341602,39.918019,3436,12.0,是,毛坯
BJ0000919,果园96.3㎡简装整租,整租,在租,贝壳找房,通州区,果园,116.675724,39.939918,4719,96.3,否,简装
BJ0000920,草桥13.5㎡简装合租,合租,在租,58同城,丰台区,草桥,116.321057,39.838096,1966,13.5,否,简装
BJ0000921,双井27.9㎡毛坯合租,合租,在租,58同城,朝阳区,双井,116.437182,39.95966,1585,27.9,是,毛坯
BJ0000922,李桥10.8㎡精装合租,合租,在租,链家,顺义区,李桥,116.62258,40.159757,1301,10.8,否,精装
BJ0000923,牛街28.3㎡精装合租,合租,在租,58同城,西城区,牛街,116.354349,39.904185,4016,28.3,是,精装
BJ0000924,旧宫10.3㎡简装合租,合租,已租,58同城,大兴区,旧宫,116.377294,39.759654,1722,10.3,否,简装
BJ0000925,土桥40.2㎡简装整租,整租,在租,安居客,通州区,土桥,116.690407,39.94443,4055,40.2,否,简装
BJ0000926,丰台科技园91.4㎡简装整租,整租,在租,贝壳找房,丰台区,丰台科技园,116.265581,39.857963,5278,91.4,否,简装
BJ0000927,德胜门13.6㎡简装合租,合租,在租,安居客,西城区,德胜门,116.402281,39.875355,3865,13.6,是,简装
BJ0000928,北太平庄73.5㎡豪装整租,整租,在租,自如,海淀区,北太平庄,116.293113,39.990128,9972,73.5,否,豪装
BJ0000929,亚运村89.0㎡精装整租,整租,在租,58同城,朝阳区,亚运村,116.447673,39.921696,7598,89.0,是,精装
BJ0000930,知春路45.3㎡豪装整租,整租,在租,贝壳找房,海淀区,知春路,116.29212,39.954886,9761,45.3,否,豪装
BJ0000931,八角165.2㎡精装独栋,独栋,在租,58同城,石景山区,八角,116.203745,39.93476,23198,165.2,否,精装
BJ0000932,和平里19.9㎡简装合租,合租,已租,链家,东城区,和平里,116.412277,39.947342,3570,19.9,是,简装
BJ0000933,安定门21.3㎡简装合租,合租,在租,链家,东城区,安定门,116.443314,39.94139,2427,21.3,否,简装
BJ0000934,西二旗18.2㎡简装合租,合租,在租,链家,海淀区,西二旗,116.296761,39.934268,2070,18.2,是,简装
BJ0000935,月坛40.8㎡精装整租,整租,在租,贝壳找房,西城区,月坛,116.370619,39.888684,11172,40.8,是,精装
BJ0000936,上地23.4㎡简装合租,合租,待审核,58同城,海淀区,上地,116.328003,39.972738,2687,23.4,是,简装
BJ0000937,古城100.4㎡精装整租,整租,已租,贝壳找房,石景山区,古城,116.216268,39.901374,5356,100.4,是,精装
BJ0000938,北七家55.0㎡简装整租,整租,在租,链家,昌平区,北七家,116.230334,40.21366,5026,55.0,否,简装
BJ0000939,旧宫24.5㎡精装合租,合租,在租,贝壳找房,大兴区,旧宫,116.355299,39.719698,1314,24.5,否,精装
BJ0000940,新街口74.7㎡豪装整租,整租,在租,58同城,西城区,新街口,116.3718,39.885323,12397,74.7,是,豪装
BJ0000941,临河里72.3㎡毛坯整租,整租,待审核,贝壳找房,通州区,临河里,116.647435,39.931935,3024,72.3,否,毛坯
BJ0000942,昌平镇18.7㎡精装合租,合租,待审核,自如,昌平区,昌平镇,116.259978,40.199047,1244,18.7,否,精装
BJ0000943,望京17.7㎡精装合租,合租,已租,安居客,朝阳区,望京,116.46391,39.923124,3158,17.7,是,精装
BJ0000944,昌平镇19.3㎡精装合租,合租,已租,链家,昌平区,昌平镇,116.243622,40.191195,1099,19.3,否,精装
BJ0000945,金融街9.2㎡简装合租,合租,在租,链家,西城区,金融街,116.385412,39.915336,3416,9.2,否,简装
BJ0000946,旧宫94.8㎡简装整租,整租,在租,58同城,大兴区,旧宫,116.323224,39.703013,4494,94.8,是,简装
BJ0000947,安定门16.5㎡毛坯合租,合租,在租,自如,东城区,安定门,116.406593,39.967952,2848,16.5,是,毛坯
BJ0000948,东直门11.6㎡精装合租,合租,在租,自如,东城区,东直门,116.427425,39.915095,2268,11.6,否,精装
BJ0000949,西二旗24.5㎡毛坯合租,合租,已租,安居客,海淀区,西二旗,116.290256,39.986346,1911,24.5,否,毛坯
BJ0000950,管庄75.6㎡毛坯整租,整租,在租,58同城,朝阳区,管庄,116.448725,39.913523,8078,75.6,是,毛坯
BJ0000951,西三旗15.8㎡豪装合租,合租,在租,58同城,海淀区,西三旗,116.29664,39.963685,2588,15.8,是,豪装
BJ0000952,太阳宫69.5㎡毛坯整租,整租,在租,链家,朝阳区,太阳宫,116.481253,39.884125,6017,69.5,否,毛坯
BJ0000953,陶然亭12.5㎡精装合租,合租,在租,安居客,西城区,陶然亭,116.335407,39.95166,3501,12.5,是,精装
BJ0000954,霍营29.3㎡精装合租,合租,待审核,链家,昌平区,霍营,116.2209,40.229061,1788,29.3,否,精装
BJ0000955,管庄86.4㎡精装整租,整租,在租,链家,朝阳区,管庄,116.469853,39.881786,7197,86.4,是,精装
BJ0000956,劲松17.3㎡精装合租,合租,待审核,安居客,朝阳区,劲松,116.451056,39.886342,2056,17.3,是,精装
BJ0000957,陶然亭20.4㎡简装合租,合租,在租,58同城,西城区,陶然亭,116.355382,39.933359,2199,20.4,是,简装
BJ0000958,潘家园97.0㎡简装整租,整租,已租,安居客,朝阳区,潘家园,116.450485,39.942284,6079,97.0,否,简装
BJ0000959,果园54.6㎡豪装整租,整租,待审核,链家,通州区,果园,116.633845,39.869714,5777,54.6,是,豪装
BJ0000960,酒仙桥55.8㎡精装整租,整租,在租,贝壳找房,朝阳区,酒仙桥,116.438675,39.934187,9206,55.8,是,精装
BJ0000961,牡丹园14.8㎡精装合租,合租,在租,链家,海淀区,牡丹园,116.283358,39.925556,2278,14.8,是,精装
BJ0000962,五道口50.0㎡精装整租,整租,在租,链家,海淀区,五道口,116.302632,39.954133,8772,50.0,是,精装
BJ0000963,角门17.4㎡简装合租,合租,在租,链家,丰台区,角门,116.277597,39.83282,1803,17.4,是,简装
BJ0000964,天竺17.9㎡豪装合租,合租,在租,贝壳找房,顺义区,天竺,116.636342,40.141977,2492,17.9,是,豪装
BJ0000965,管庄25.1㎡简装合租,合租,已租,贝壳找房,朝阳区,管庄,116.477706,39.960779,3178,25.1,是,简装
BJ0000966,管庄35.5㎡精装整租,整租,在租,安居客,朝阳区,管庄,116.417653,39.949075,7557,35.5,否,精装
BJ0000967,沙河21.0㎡毛坯合租,合租,在租,链家,昌平区,沙河,116.269872,40.196235,1352,21.0,否,毛坯
BJ0000968,窦店47.2㎡精装整租,整租,在租,58同城,房山区,窦店,116.104434,39.76616,2939,47.2,否,精装
BJ0000969,西二旗64.0㎡精装整租,整租,在租,贝壳找房,海淀区,西二旗,116.293472,39.941342,5624,64.0,是,精装
BJ0000970,丰台科技园17.3㎡简装整租,整租,待审核,链家,丰台区,丰台科技园,116.292295,39.85554,4149,17.3,否,简装
BJ0000971,生物医药基地14.8㎡豪装合租,合租,已租,安居客,大兴区,生物医药基地,116.302135,39.737836,2379,14.8,否,豪装
BJ0000972,旧宫100.3㎡精装整租,整租,在租,链家,大兴区,旧宫,116.305567,39.743273,4630,100.3,是,精装
BJ0000973,西三旗18.5㎡毛坯整租,整租,在租,贝壳找房,海淀区,西三旗,116.293168,39.926693,8089,18.5,是,毛坯
BJ0000974,常营58.2㎡毛坯整租,整租,已租,安居客,朝阳区,常营,116.420353,39.937175,5621,58.2,是,毛坯
BJ0000975,黄村29.9㎡豪装整租,整租,在租,链家,大兴区,黄村,116.342362,39.703658,5163,29.9,否,豪装
BJ0000976,青塔61.2㎡豪装整租,整租,在租,贝壳找房,丰台区,青塔,116.319102,39.84429,5069,61.2,否,豪装
BJ0000977,苹果园20.4㎡精装合租,合租,在租,链家,石景山区,苹果园,116.255752,39.890102,2038,20.4,否,精装
BJ0000978,沙河11.8㎡精装合租,合租,待审核,贝壳找房,昌平区,沙河,116.24907,40.228775,2442,11.8,是,精装
BJ0000979,双井111.1㎡简装整租,整租,在租,链家,朝阳区,双井,116.465426,39.957319,9354,111.1,否,简装
BJ0000980,平谷城区121.3㎡精装独栋,独栋,在租,自如,平谷区,平谷城区,117.091591,40.127252,11897,121.3,否,精装
BJ0000981,望京81.8㎡精装整租,整租,已租,贝壳找房,朝阳区,望京,116.456189,39.897033,10480,81.8,是,精装
BJ0000982,三里屯13.0㎡豪装合租,合租,已租,58同城,朝阳区,三里屯,116.431077,39.918664,3474,13.0,否,豪装
BJ0000983,黄村16.1㎡精装合租,合租,在租,贝壳找房,大兴区,黄村,116.332306,39.712269,2018,16.1,否,精装
BJ0000984,清河101.7㎡毛坯整租,整租,在租,58同城,海淀区,清河,116.317234,39.966214,6431,101.7,是,毛坯
BJ0000985,黄村45.6㎡简装整租,整租,已租,链家,大兴区,黄村,116.352946,39.697846,4499,45.6,是,简装
BJ0000986,双井25.4㎡毛坯合租,合租,在租,链家,朝阳区,双井,116.417861,39.912857,1906,25.4,否,毛坯
BJ0000987,金融街12.9㎡精装合租,合租,已租,58同城,西城区,金融街,116.338871,39.882299,3263,12.9,是,精装
BJ0000988,酒仙桥34.4㎡精装整租,整租,待审核,贝壳找房,朝阳区,酒仙桥,116.467693,39.917022,9701,34.4,是,精装
BJ0000989,宋家庄63.5㎡简装整租,整租,在租,自如,丰台区,宋家庄,116.316625,39.824901,5650,63.5,否,简装
BJ0000990,王府井95.0㎡简装整租,整租,已租,安居客,东城区,王府井,116.385724,39.92767,7000,95.0,是,简装
BJ0000991,草桥96.0㎡精装整租,整租,在租,链家,丰台区,草桥,116.270459,39.851865,6396,96.0,是,精装
BJ0000992,三里屯91.2㎡简装整租,整租,已租,自如,朝阳区,三里屯,116.454134,39.915488,5921,91.2,否,简装
BJ0000993,高米店57.5㎡简装整租,整租,已租,链家,大兴区,高米店,116.346825,39.690051,3083,57.5,否,简装
BJ0000994,清河19.9㎡精装整租,整租,已租,自如,海淀区,清河,116.317941,39.953102,8272,19.9,否,精装
BJ0000995,西单205.1㎡简装独栋,独栋,待审核,58同城,西城区,西单,116.389492,39.917672,21065,205.1,是,简装
BJ0000996,西三旗9.1㎡豪装合租,合租,在租,58同城,海淀区,西三旗,116.320265,39.941448,3778,9.1,是,豪装
BJ0000997,德胜门19.5㎡精装合租,合租,在租,58同城,西城区,德胜门,116.347981,39.908995,2950,19.5,是,精装
BJ0000998,天坛103.8㎡精装整租,整租,在租,自如,东城区,天坛,116.426782,39.9148,8464,103.8,是,精装
BJ0000999,亦庄55.9㎡简装整租,整租,在租,贝壳找房,大兴区,亦庄,116.343879,39.700401,4162,55.9,否,简装
BJ0001000,高米店60.6㎡精装整租,整租,在租,58同城,大兴区,高米店,116.330835,39.710146,5606,60.6,是,精装
BJ0001001,延庆城区12.3㎡精装合租,合租,在租,自如,延庆区,延庆城区,115.995111,40.439411,1304,12.3,是,精装
BJ0001002,大望路16.6㎡简装合租,合租,在租,58同城,朝阳区,大望路,116.41779,39.893729,2346,16.6,否,简装
BJ0001003,刘家窑13.4㎡简装合租,合租,已租,58同城,丰台区,刘家窑,116.30864,39.868922,2122,13.4,是,简装
BJ0001004,北太平庄42.7㎡毛坯整租,整租,在租,链家,海淀区,北太平庄,116.270557,39.989167,8090,42.7,是,毛坯
BJ0001005,宋家庄8㎡精装合租,合租,待审核,58同城,丰台区,宋家庄,116.32494,39.851324,2155,8,否,精装
BJ0001006,上地8㎡精装合租,合租,在租,自如,海淀区,上地,116.271317,39.96934,2805,8,否,精装
BJ0001007,安定门117.0㎡精装整租,整租,在租,安居客,东城区,安定门,116.444025,39.90141,9011,117.0,是,精装
BJ0001008,安定门43.3㎡简装整租,整租,已租,链家,东城区,安定门,116.430694,39.923992,8272,43.3,否,简装
BJ0001009,天通苑39.8㎡简装整租,整租,待审核,58同城,昌平区,天通苑,116.210789,40.238464,4717,39.8,是,简装
BJ0001010,老山22.0㎡精装合租,合租,在租,贝壳找房,石景山区,老山,116.192379,39.927728,1915,22.0,否,精装
BJ0001011,金融街20.4㎡简装合租,合租,已租,58同城,西城区,金融街,116.35507,39.92933,2319,20.4,否,简装
BJ0001012,三里屯74.9㎡简装整租,整租,在租,链家,朝阳区,三里屯,116.432817,39.933523,7155,74.9,是,简装
BJ0001013,临河里54.9㎡毛坯整租,整租,在租,贝壳找房,通州区,临河里,116.636678,39.8903,3984,54.9,否,毛坯
BJ0001014,上地10.6㎡简装合租,合租,在租,贝壳找房,海淀区,上地,116.328414,39.964383,2976,10.6,是,简装
BJ0001015,酒仙桥82.0㎡简装整租,整租,已租,贝壳找房,朝阳区,酒仙桥,116.459107,39.892722,6833,82.0,是,简装
BJ0001016,高米店68.0㎡精装整租,整租,已租,贝壳找房,大兴区,高米店,116.333768,39.736277,6418,68.0,是,精装
BJ0001017,崇文门21.9㎡简装合租,合租,已租,贝壳找房,东城区,崇文门,116.445663,39.927064,2493,21.9,是,简装
BJ0001018,亚运村19.7㎡毛坯合租,合租,在租,自如,朝阳区,亚运村,116.43202,39.917746,2613,19.7,否,毛坯
